concelho;IndRural;pop.res;Perc.pop.Act;Perc.criancas;Perc.idosos;TxDesemp;Hospitais1000;CentrosSaude1000;Rendim;Escolaridade;PropMulheres;HabCentrosSaude;N.Cxs.MB;Ano
Celorico de Basto;0,61;19552;0,674611293;0,130472586;0,194916121;0,095;0;0,051145663;800,3;6,13;0,517;4022;9;2016
Chamusca;0,58;9695;0,598143373;0,113563693;0,288292935;0,057;0;0,103145952;872,3;5,97;0,523;10105,5;12;2016
Chaves;0,4;40260;0,631147541;0,110854446;0,257998013;0,091;0,024838549;0,049677099;845,3;7,05;0,524;20640,3;44;2016
Cinfaes;0,44;19244;0,646902931;0,137081688;0,216015381;0,149;0;0,051964249;755,3;5,54;0,516;2908,4;12;2016
Coimbra;0;135085;0,639752748;0,125387719;0,234859533;0,079;0,10363845;0,044416479;1034,3;9,15;0,535;6476,1;258;2016
Condeixa-a-Nova;0,34;17376;0,657516114;0,150437385;0,192046501;0,054;0,057550645;0,057550645;868,3;7,96;0,534;17171,5;18;2016
Constância;0,44;3995;0,628785982;0,14893617;0,222277847;0,076;0,250312891;0,250312891;1077,3;7,25;0,535;4052;6;2016
Coruche;0,41;18725;0,586969292;0,11364486;0,299385848;0,078;0;0,053404539;938,3;5,91;0,527;19881,5;17;2016
Covilha;0,28;48964;0,62887019;0,116595866;0,254533943;0,098;0,020423168;0,020423168;858,3;7,31;0,524;1982,6;71;2016
Crato;0,18;3415;0,573060029;0,09136164;0,335578331;0,097;0;0,292825769;774,3;5,62;0,536;740;4;2016
Cuba;0,32;4788;0,624477861;0,140768588;0,234753551;0,08;0;0,208855472;849,3;6,82;0,518;978,2;6;2016
Elvas;0,24;21737;0,635276257;0,136725399;0,227998344;0,123;0,046004508;0,046004508;833,3;7,18;0,525;2875;26;2016
